mint,dev_holding_pct,top_10_holding_pct,tx_velocity_1m,has_socials,funded_from_cex,is_success
FktXEdt1ucWbZHW2UZnVd2CWZSzvy7Z8Q1uzBXoqpump,0.0,0.2017465230236,11,1,0,0
BxeWJtNV5XZJzNQu5Jn9Qqg4ZVovNJ3bk9ALLak5pump,0.0,12.743079733419298,12,1,0,0
AgH8XZxAGd7fnSfPtvfyggGf5QP1C624dmMifFhapump,0.0,0.23343728882169998,9,1,0,0
3f17guDYgSpo4x8qvjhLF1mPP73ZAEaWfz1h5wCmpump,0.0,4.4236816873086,2,1,0,0
9nCAb7dm6VfbPDMHCHw2QwN9zW3ffWQonRTBrzU4pump,0.0,23.670127394750402,59,1,0,1
2wAtsFj264xg43P1JQ2qZ5Tt7kt1wzTsaec7g2VHpump,0.0,3.1589116334211,6,1,0,0
FKEtZTbkQNJLagX4kGF5mG7pzK5ioQpR2NfSyZF5pump,0.0357547484171,0.5343936256817,4,1,0,0
CMu8PDirADv8eHLbspbUkAcKh8DJkYHic5mTzoQUt4Qq,0.0,0.366202671514,10,1,0,0
3uJYRAbniJePb2Bfv4cgNnJucGPMigt4qQ2Gn6dCpump,0.1071928071928,0.3956768715322,5,1,0,0
EVjAKzcg7vX7ZhUayWYnbB69DbQeGHaYrTXgKbQHpump,1.7590163934426002,2.5345431297675,9,1,0,0
2SbGeppWSw38iAKBWy6YZ6taeLQ1VwSKud1LrhFb9Nob,3.57666547e-05,3.57666547e-05,5,1,0,0
3CtWtVCtqWYaZ5bvZ4k6FQNp42SVLueoKDzgejbUpump,0.0,9.8210309534557,11,1,0,0
bejGub8SJ3fpYXqcwrXbMYxfryQB4PmNqrjVQPQpump,0.0,16.3097111562537,9,1,0,0
BVPJi3bxsv93ZZYGdDAVsR5XKxwRhr2rMKmTztiZpump,0.0,7.5802211045794,12,1,0,0
HeEXRNeS6vTuKRUzNxK5x4oy3PCUT4EzootzQB6Rpump,0.0,79.31,1,1,0,1
yzvRzA2ENJvNujJmajigFJnTmYYXjigumBPt6SFpump,26.8249999999999,26.8252011872483,7,1,0,1
GA8FKpzpueNo5nxsDE2CMmfLWoxYTTS2FqufbkK1pump,3.4612903225806,38.3503178479287,65,1,0,1
dnbuCUgQ2R4vRYRezWwNKABFpzQwNP5cyordttUpump,0.0,0.2224117847607,12,1,0,0
7zZ4kPk5hMm2XMWAjqQeoYyvoq3uHBJ1AFjnqX4ypump,0.0,43.0993467870475,297,1,0,0
VE1JsXWvy3RzrUhQp6cs6bXA3i7RbMhhdtVWLc4pump,0.0,1.2741454164552,19,1,0,0
DoDHDfymU4GrBSp7dxsvMRT5FesGJLVSwZfXrFNypump,15.328571428571399,16.1597785773864,6,1,0,0
FcuXQwrGBQo2vwXBqGQV3eje5ELgVn3dbxUuuC1Hpump,0.0,0.6034497853366,10,1,0,0
EX5r1Bdd2P3HTHUhr5tCmT2u33NREjnkEeGyjmSJpump,0.0,71.9864360179849,22,1,0,1
7LAqsficpdQYFP9pGt3Cw44LC26xj5Xd9EHE7xaDCZ13,0.0,38.6376768878537,200,1,0,1
BgkeuuKC6a3NJ6MpqGsF4eE3PAjPQNY4okqkpAhtpump,0.0,7.454884208752601,6,1,0,0
7hpmeGamBfpgodaYfL4vAf7dx2BDATGcZtjhzMb1pump,0.0,0.40851565774480003,11,1,0,0
5STvEYkh3yPACZzDbyMY29BfA3CHB52rWWSxbiW7Qjdj,0.0,0.30030701910380003,10,1,0,0
4qJoPkD33NmKmV7UgGAUSa3PDCN7a6qEcNJf9jHTM3uT,0.0,0.3887313612107,3,1,0,0
9qqpuLs4eY2mc1NhPUq7QV447whYzyEFm7ot3p96pump,0.0,0.2588971106331,3,1,0,0
CYd7EXMRyL6ZjU21pumW3GWqZcJGmMJqLsixfvXipump,0.0,6.7090675070253,5,1,0,0
66bt5SDt83GY3LxycVzwNzP4SidPNMGrJQJHnbxQpump,9.7545454545454,10.613031221972701,8,1,0,0
HJPkBd1MYiWyBad8B8THsPrRFkUVWWbpKr4RSPEypump,0.0,1.7590163934426002,3,1,0,0
3g1WjtPw1sEbyWbiWZg66Gis3VqESG4J5mLj6CJRpump,0.0357547484171,0.8437625516688,14,1,0,0
55BpKLmpLyqCcMJxSqtr3UvKiufiwuWMEdr1AfJdzGxo,0.0,0.7838572773791,8,1,0,0
5toNHtgtM5YtEbTP79n3ot2yHN2vwJb3VwwAcmQMpump,3.1252427184465996,29.654957469092402,15,1,0,0
2jStpVMNiM7M1p6en22jovfSGr3izFQ4MMg3KrSBRf32,0.0,32.2286280127693,12,1,0,1
2BRrk3yiBwPa3cLQvLZczyYivuEwqnzNFSt9e1aipump,0.0,0.21645562191419998,13,1,0,0
Fnj3UP8rCkNcZof5zZVSopLKLmSxBNJ1Rj7QDc47pump,0.0,7.4860465116278005,2,1,0,1
8Siupet42YS58F7RCHAPKvzpsmDDZR5BxN1Xa2VKpump,0.0,30.7713701017775,93,1,0,1
qPJrhTkqRzjXo58JiF6neYwZbLjHDRg7Ux1sfQ7pump,0.0,76.6128387528212,18,1,0,1
HgUxH7rGNMsBTYeohQ73oLDSQrNeByXU8C4Mqgy5pump,0.0,4.8392266593562,8,1,0,0
6ruXhkS8ashdA5M6cVpZSRgzrtvWmr7ewv4QPt89pump,5.4715804125015,48.3990313415058,95,1,0,1
HyW5wEoJhXEJDR71v3T5Xbk7ZaZiBgSbjHAQERbWpump,60.0,77.15911605975239,20,1,0,1
1VzTcWx7PFwYRoZxE1hBQ5sH55XSP5DNZVeo9Xppump,0.0,0.23582812795760003,8,1,0,0
3CLPMmH3ZKhsSF3TmYtb22SM5PNifRxvYGx88uiPpump,4.4565495207667,4.7840764331209,2,1,0,0
H3abtfRgrWT7tRHdPN8V95VFFsj2m4jVNNE4TiUDpump,0.0,0.0750574124406,8,1,0,0
hK7eAqckrdY3GnikjDZ4LWMMsDRLtm9U7WVAeTapump,3.5412565e-05,42.653325772871796,68,1,0,1
edCbc4FXtZCro2G1Qx3XhfsCBbdMnVC17Si8mPPpump,0.0,44.0001369564127,107,1,0,1
Fop9aTkp6Pp6sGtBWf8wMUEWtowNNiX16HCsXvAjpump,0.0,0.3566101659071,23,1,0,0
5chTZU2N4XuFmfLWvVgo74CQqzDGEwdLPN69EHpm66ha,0.0,0.22279058282660003,5,1,0,0
EoMwYnWkevvHhNag1SRtbqXqaAP1LYnnDmCcoYiDcV3D,0.0,0.29553116725019996,8,1,0,0
BqtLDm9gvY1NxUHxY6tqCdoZH1iqzEtwJ28oNg3Spump,0.28537234042549997,5.9762566221313,4,1,0,0
3pk24wkPCG9FFi3SqVsCu1o5XnQUmkRFbCUgb6o2Zxej,0.0,0.8636616927743,4,1,0,0
9YjfWpq63KDWJEVjynaESRVSTYhv8G2rm2j4uKMapump,0.0,14.938187587225299,8,1,0,0
